action_id,action_name,category,co2_grams,unit,confidence,related_sdgs,source_1_name,source_1_quote,source_1_url,source_2_name,source_2_quote,source_2_url,calculation_notes,accessed_date
bike_instead_of_car,Biking instead of driving,transport,149,per_km,high,"3,11,13",UK DEFRA 2024,"The UK's average petrol car produces 164 grams of CO2 per kilometre equivalent (g CO2e), while a diesel car produces 170 grams of CO2/km.",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,Our World in Data,"The carbon footprint of travel is measured in grams of carbon dioxide-equivalents per passenger kilometer.",https://ourworldindata.org/grapher/carbon-footprint-travel-mode,"Average petrol car 164g/km minus cycling 16g/km (metabolic emissions)",2026-01-31
walk_instead_of_car,Walking instead of driving,transport,164,per_km,high,"3,11,13",GreenMatch UK,"The UK's average petrol car produces 164 grams of CO2 per kilometre, equivalent (g CO2e)",https://www.greenmatch.co.uk/blog/uk-transport-co2,UK DEFRA 2024,Average car CO2 conversion factors published annually,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,Walking has near-zero direct emissions. Full car savings,2026-01-31
bus_instead_of_car,Public bus instead of driving,transport,60,per_km,high,"9,11,13",Robeco/DEFRA,"An urban bus emits 104 g/km and a coach 27 g/km due to its greater weight efficiency.",https://www.robeco.com/en-uk/insights/2020/02/short-haul-flights-are-the-worst-offenders-for-co,UK DEFRA 2024,Bus emission factors vary by type - local bus approximately 100g CO2e/pkm,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,"Average car 164g/km minus bus 104g/km = 60g saved",2026-01-31
train_instead_of_car,Train instead of driving,transport,133,per_km,high,"9,11,13",UK Office of Rail and Road,"Passenger train emissions per passenger kilometre was 31 grams of CO2e. This was down 2% on the previous year.",https://dataportal.orr.gov.uk/statistics/infrastructure-and-environment/rail-environment/,MyCarbon/DEFRA,"DEFRA has an emission factor for an average National Rail journey of 0.03546 kgCO₂e per passenger km.",https://www.mycarbon.co.uk/2024/09/06/defra-ghg-emission-conversion-factors-update-2024/,"Average car 164g/km minus national rail 31g/km = 133g saved",2026-01-31
eurostar_instead_of_car,Eurostar instead of driving,transport,158,per_km,high,"9,11,13",Seat61/DEFRA,"Eurostar, emitting only 6 g/km per passenger on trips through the Channel Tunnel.",https://www.seat61.com/CO2flights.htm,UK ORR Rail Emissions,"The 2019 estimates were 6.0 g CO2e per passenger km for international rail (Eurostar).",https://dataportal.orr.gov.uk/media/1843/rail-emissions-2019-20.pdf,"Eurostar emits only 6g/km. Car 164g - 6g = 158g saved",2026-01-31
train_vs_flight_500km,Train instead of short-haul flight (500km),transport,110000,per_trip,high,13,Robeco/BEIS DEFRA,"Aircraft on routes of 700 kilometers or less emit 251 grams per km for short haul compared to 195 g/km for long haul.",https://www.robeco.com/en-uk/insights/2020/02/short-haul-flights-are-the-worst-offenders-for-co,DEFRA Methodology,Per passenger emissions factors expressed in terms of kg CO2e per km,https://www.carbonkit.net/categories/DEFRA_journey_based_flight_methodology,"Short-haul flight 251g/km vs train 35g/km. At 500km including RF multiplier",2026-01-31
train_vs_flight_1000km,Train instead of flight (1000km),transport,160000,per_trip,high,13,Robeco/BEIS DEFRA,"251 grams per km for short haul. Electrified domestic rail emits 41 g/km.",https://www.robeco.com/en-uk/insights/2020/02/short-haul-flights-are-the-worst-offenders-for-co,Solartechonline/UK Gov,"UK domestic flight emissions of 273g CO2e per passenger km confirmed by UK Government statistics, 2024.",https://solartechonline.com/blog/train-carbon-emissions-guide/,"Flight ~195g/km vs train 35g/km. At 1000km = 160kg",2026-01-31
meatless_meal_beef,Meatless meal (beef avoided),food,9700,per_100g_serving,high,"2,12,13,15",Our World in Data / Poore & Nemecek grapher CSV,"Beef (beef herd),2010,99.48",https://ourworldindata.org/grapher/ghg-per-kg-poore.csv,MyCarbon Food Emissions Database,"The greenhouse gas emissions of Beef (beef herd) (Global Average) are 99.477404614 kg CO2e per kilogram of food product.",https://www.mycarbon.co.uk/knowledge-hub/food-emissions-database/food-emissions-database-beef-beef-herd-global-average-2018-reducing-foods-environmental-impacts-through-producers-and-consumers-poore-nemecek-science-2018/,"Beef 99.48 kg CO2e/kg (P&N 2018 global MEAN with losses via OWID; the quoted 60 is the median). Per 100g = 9948g minus plant baseline 200g (beans/lentils 1.79 kg/kg) = 9748g; rounded down to 9700g",2026-07-18
meatless_meal_chicken,Meatless meal (chicken avoided),food,890,per_100g_serving,high,"2,12,13",Our World in Data / Poore & Nemecek grapher CSV,"Poultry Meat,2010,9.87",https://ourworldindata.org/grapher/ghg-per-kg-poore.csv,PMC/Multiple Studies,"16-68 kg CO2-eq/kg for beef, 6.08-12.3 kg CO2-eq/kg for pork, and 2.6-3.3 kg CO2-eq/kg for chicken",https://pmc.ncbi.nlm.nih.gov/articles/PMC11743834/,"Chicken 9.87 kg CO2e/kg (P&N 2018 global MEAN with losses via OWID). Per 100g = 987g minus plant baseline 100g (peas 0.98 kg/kg) = 887g; rounded to 890g",2026-07-18
meatless_meal_pork,Meatless meal (pork avoided),food,1100,per_100g_serving,high,"2,12,13",Our World in Data / Poore & Nemecek grapher CSV,"Pig Meat,2010,12.31",https://ourworldindata.org/grapher/ghg-per-kg-poore.csv,PMC/Multiple Studies,"16-68 kg CO2-eq/kg for beef, 6.08-12.3 kg CO2-eq/kg for pork, and 2.6-3.3 kg CO2-eq/kg for chicken",https://pmc.ncbi.nlm.nih.gov/articles/PMC11743834/,"Pork 12.31 kg CO2e/kg (P&N 2018 global MEAN with losses via OWID). Per 100g = 1231g minus plant baseline 100g (peas 0.98 kg/kg) = 1131g; rounded down to 1100g",2026-07-18
food_waste_avoided,Food waste avoided (diverted from landfill),food,860,per_kg,high,"2,12,13",EPA 2023 Landfill Report,"For every 1,000 tons of food waste landfilled, an estimated 34 metric tons of fugitive methane emissions are released.",https://www.epa.gov/system/files/documents/2023-10/food-waste-landfill-methane-10-8-23-final_508-compliant.pdf,BioCycle Analysis,"For each metric ton of food waste that goes into a landfill you get about 0.86 tons of CO2 equivalent (CO2e) released to the atmosphere as methane.",https://www.biocycle.net/connections-food-waste-and-landfill-methane-report-a-giant-step-on-a-long-road/,"EPA 2023: 0.86 tonnes CO2e per metric ton of food waste = 860g/kg",2026-01-31
composting,Composting food scraps instead of landfill,food,700,per_kg,medium,"12,13,15",BioCycle Climate Calculations,"1 kg CH4 per dry ton materials * 23 kg CO2 per kg CH4 = 23 kg CO2 (well-managed compost) vs 207 kg CO2 (poorly managed).",https://www.biocycle.net/connection-climate-calculations/,ReFED,"EPA research indicates that diverting food waste from landfill reduces the methane generation potential by 33%.",https://refed.org/food-waste/climate-and-resources/,"Composting emits ~10-20% of landfill methane. Net savings ~700g/kg",2026-01-31
recycle_aluminum_can,Recycling aluminum can,recycling,99,per_can,high,"12,13",Aluminum Association,"Recycling a single can saves 1.56 megajoules (MJ) of energy or 98.7 grams of CO2 equivalent.",https://www.aluminum.org/carbon-footprint-us-aluminum-can-production-down-40-1990s,International Aluminium Institute,"The primary energy demand for recycled aluminium was 8.3 gigajoules per tonne, resulting in a significant energy saving (95.5%).",https://international-aluminium.org/landing/aluminium-recycling-saves-95-of-the-energy-needed-for-primary-aluminium-production/,"Recycling saves 95% energy vs virgin aluminum. Per 15g can saves ~99g",2026-01-31
recycle_plastic_bottle,Recycling PET plastic bottle,recycling,47,per_bottle,medium,"12,13,14",EPA WARM Model,Recycling PET saves significant energy compared to virgin production,https://www.epa.gov/warm,Association of Plastic Recyclers,"According to EPA, recycling aluminum saves 95%, paper 60%, glass 30% of energy.",https://plasticsrecycling.org/how-recycling-works/why-recycling-is-important/,"500ml PET bottle weighs 28g. Recycling saves ~1.7kg CO2/kg plastic",2026-01-31
